times,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,yaw,yaw_dot
3.300000000e-02,2.156323917e-01,1.599854689e+01,0.000000000e+00,6.533919260e+00,-8.806578787e-02,0.000000000e+00,-3.596668819e-02,-2.668498657e+00,0.000000000e+00,-1.089833651e+00,1.468904884e-02,0.000000000e+00,-1.347743248e-02,-4.084070450e-01
3.400000000e-02,2.221662927e-01,1.599845749e+01,0.000000000e+00,6.533882749e+00,-9.073427911e-02,0.000000000e+00,-3.705651881e-02,-2.668483745e+00,0.000000000e+00,-1.089827561e+00,1.513414334e-02,0.000000000e+00,-1.388583953e-02,-4.084070450e-01
3.500000000e-02,2.287001568e-01,1.599836542e+01,0.000000000e+00,6.533845147e+00,-9.340275522e-02,0.000000000e+00,-3.814634325e-02,-2.668468389e+00,0.000000000e+00,-1.089821289e+00,1.557923532e-02,0.000000000e+00,-1.429424657e-02,-4.084070450e-01
3.600000000e-02,2.352339827e-01,1.599827069e+01,0.000000000e+00,6.533806456e+00,-9.607121574e-02,0.000000000e+00,-3.923616133e-02,-2.668452587e+00,0.000000000e+00,-1.089814836e+00,1.602432470e-02,0.000000000e+00,-1.470265362e-02,-4.084070450e-01
3.700000000e-02,2.417677693e-01,1.599817328e+01,0.000000000e+00,6.533766675e+00,-9.873966024e-02,0.000000000e+00,-4.032597286e-02,-2.668436340e+00,0.000000000e+00,-1.089808200e+00,1.646941141e-02,0.000000000e+00,-1.511106066e-02,-4.084070450e-01
3.800000000e-02,2.483015157e-01,1.599807321e+01,0.000000000e+00,6.533725804e+00,-1.014080883e-01,0.000000000e+00,-4.141577767e-02,-2.668419648e+00,0.000000000e+00,-1.089801383e+00,1.691449537e-02,0.000000000e+00,-1.551946771e-02,-4.084070450e-01
3.900000000e-02,2.548352206e-01,1.599797047e+01,0.000000000e+00,6.533683843e+00,-1.040764994e-01,0.000000000e+00,-4.250557557e-02,-2.668402511e+00,0.000000000e+00,-1.089794384e+00,1.735957651e-02,0.000000000e+00,-1.592787475e-02,-4.084070450e-01
4.000000000e-02,2.613688830e-01,1.599786505e+01,0.000000000e+00,6.533640793e+00,-1.067448931e-01,0.000000000e+00,-4.359536638e-02,-2.668384929e+00,0.000000000e+00,-1.089787204e+00,1.780465476e-02,0.000000000e+00,-1.633628180e-02,-4.084070450e-01
4.100000000e-02,2.679025018e-01,1.599775698e+01,0.000000000e+00,6.533596652e+00,-1.094132691e-01,0.000000000e+00,-4.468514991e-02,-2.668366902e+00,0.000000000e+00,-1.089779841e+00,1.824973003e-02,0.000000000e+00,-1.674468884e-02,-4.084070450e-01
4.200000000e-02,2.744360759e-01,1.599764623e+01,0.000000000e+00,6.533551422e+00,-1.120816268e-01,0.000000000e+00,-4.577492600e-02,-2.668348430e+00,0.000000000e+00,-1.089772297e+00,1.869480226e-02,0.000000000e+00,-1.715309589e-02,-4.084070450e-01
